model,phase,layer,wave_id,cluster_id,concurrency,replicas,policy,contributions,fragmented_work_us,consolidated_work_us,actionable,fragmented_launches,consolidated_launches,extra_launches,extra_weight_read_proxy_events,partition_rows_json,expert_work_removable_fraction,exposed_penalty_fraction
smoke-olmoe,decode,1,1,smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,2,2,current_least_load,32,150.63350647362944,93.94233764908628,True,14,8,6,6,"{""0"": [2, 1], ""1"": [2], ""2"": [2, 1], ""3"": [3, 1], ""4"": [4, 1], ""5"": [4, 2], ""6"": [3, 2], ""7"": [4]}",0.3763516507827411,
smoke-olmoe,decode,1,2,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005,2,2,current_hash,32,160.12467529817258,93.94233764908628,True,15,8,7,7,"{""0"": [3, 2], ""1"": [3, 1], ""2"": [2, 1], ""3"": [2], ""4"": [2, 1], ""5"": [2, 2], ""6"": [4, 1], ""7"": [3, 3]}",0.4133175447559618,
smoke-olmoe,decode,1,2,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005,2,2,current_least_load,32,150.63350647362944,93.94233764908628,True,14,8,6,6,"{""0"": [3, 2], ""1"": [4], ""2"": [2, 1], ""3"": [2], ""4"": [2, 1], ""5"": [3, 1], ""6"": [4, 1], ""7"": [4, 2]}",0.3763516507827411,
smoke-olmoe,decode,1,3,smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,2,2,current_hash,32,159.68792206135788,93.94233764908628,True,15,8,7,7,"{""0"": [3, 2], ""1"": [3, 3], ""2"": [4, 1], ""3"": [4], ""4"": [2, 1], ""5"": [1, 1], ""6"": [2, 1], ""7"": [3, 1]}",0.4117129433684394,
smoke-olmoe,decode,1,3,smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,2,2,current_least_load,32,150.63350647362944,93.94233764908628,True,14,8,6,6,"{""0"": [4, 1], ""1"": [4, 2], ""2"": [3, 2], ""3"": [4], ""4"": [2, 1], ""5"": [2], ""6"": [2, 1], ""7"": [3, 1]}",0.3763516507827411,
smoke-llmjp,decode,0,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001|smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,4,2,current_hash,96,201.60051942088828,118.44467529817257,True,16,8,8,8,"{""0"": [6, 4], ""1"": [9, 3], ""2"": [10, 4], ""3"": [8, 6], ""4"": [8, 6], ""5"": [9, 3], ""6"": [8, 2], ""7"": [7, 3]}",0.41247832278203816,
smoke-llmjp,decode,0,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001|smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,4,2,current_least_load,96,202.1277272147525,118.44467529817257,True,16,8,8,8,"{""0"": [6, 4], ""1"": [7, 5], ""2"": [10, 4], ""3"": [8, 6], ""4"": [8, 6], ""5"": [6, 6], ""6"": [7, 3], ""7"": [8, 2]}",0.4140107498842555,
smoke-llmjp,decode,0,1,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005|smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,4,2,current_hash,96,202.48178566873412,118.44467529817257,True,16,8,8,8,"{""0"": [8, 6], ""1"": [7, 5], ""2"": [5, 5], ""3"": [6, 4], ""4"": [5, 5], ""5"": [8, 4], ""6"": [9, 5], ""7"": [10, 4]}",0.41503540722447313,
smoke-llmjp,decode,0,1,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005|smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,4,2,current_least_load,96,202.1277272147525,118.44467529817257,True,16,8,8,8,"{""0"": [8, 6], ""1"": [6, 6], ""2"": [7, 3], ""3"": [8, 2], ""4"": [6, 4], ""5"": [7, 5], ""6"": [10, 4], ""7"": [8, 6]}",0.4140107498842555,
smoke-llmjp,decode,1,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001|smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,4,2,current_hash,96,202.43655839020937,118.44467529817257,True,16,8,8,8,"{""0"": [7, 3], ""1"": [5, 5], ""2"": [8, 4], ""3"": [8, 6], ""4"": [9, 5], ""5"": [9, 5], ""6"": [8, 4], ""7"": [5, 5]}",0.4149047176060813,
smoke-llmjp,decode,1,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001|smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,4,2,current_least_load,96,202.1277272147525,118.44467529817257,True,16,8,8,8,"{""0"": [8, 2], ""1"": [6, 4], ""2"": [7, 5], ""3"": [10, 4], ""4"": [8, 6], ""5"": [8, 6], ""6"": [6, 6], ""7"": [7, 3]}",0.4140107498842555,
smoke-llmjp,decode,1,1,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005|smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,4,2,current_hash,96,202.54574669941303,118.44467529817257,True,16,8,8,8,"{""0"": [7, 7], ""1"": [9, 5], ""2"": [8, 4], ""3"": [7, 3], ""4"": [6, 4], ""5"": [5, 5], ""6"": [8, 4], ""7"": [7, 7]}",0.4152201306209121,
smoke-llmjp,decode,1,1,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005|smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,4,2,current_least_load,96,202.1277272147525,118.44467529817257,True,16,8,8,8,"{""0"": [8, 6], ""1"": [8, 6], ""2"": [6, 6], ""3"": [7, 3], ""4"": [8, 2], ""5"": [6, 4], ""6"": [7, 5], ""7"": [10, 4]}",0.4140107498842555,
smoke-olmoe,decode,0,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001|smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,4,2,current_hash,64,187.35746750430835,107.59422074112307,True,16,8,8,8,"{""0"": [5, 1], ""1"": [4, 4], ""2"": [8, 2], ""3"": [7, 3], ""4"": [6, 4], ""5"": [4, 4], ""6"": [3, 3], ""7"": [4, 2]}",0.4257276095032139,
smoke-olmoe,decode,0,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001|smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,4,2,current_least_load,64,187.35746750430835,107.59422074112307,True,16,8,8,8,"{""0"": [4, 2], ""1"": [4, 4], ""2"": [5, 5], ""3"": [7, 3], ""4"": [7, 3], ""5"": [5, 3], ""6"": [5, 1], ""7"": [4, 2]}",0.4257276095032139,
smoke-olmoe,decode,0,1,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005|smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,4,2,current_hash,64,186.67584412271572,107.59422074112307,True,16,8,8,8,"{""0"": [5, 5], ""1"": [5, 3], ""2"": [3, 3], ""3"": [3, 3], ""4"": [5, 1], ""5"": [7, 1], ""6"": [8, 2], ""7"": [5, 5]}",0.42363072604941054,
smoke-olmoe,decode,0,1,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005|smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,4,2,current_least_load,64,187.35746750430837,107.59422074112307,True,16,8,8,8,"{""0"": [7, 3], ""1"": [5, 3], ""2"": [4, 2], ""3"": [5, 1], ""4"": [4, 2], ""5"": [5, 3], ""6"": [5, 5], ""7"": [6, 4]}",0.42572760950321403,
smoke-olmoe,decode,1,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001|smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,4,2,current_hash,64,186.9846752981726,107.59422074112307,True,16,8,8,8,"{""0"": [5, 1], ""1"": [4, 2], ""2"": [5, 3], ""3"": [5, 5], ""4"": [6, 4], ""5"": [7, 3], ""6"": [5, 3], ""7"": [5, 1]}",0.42458268000011556,
smoke-olmoe,decode,1,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001|smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,4,2,current_least_load,64,187.35746750430835,107.59422074112307,True,16,8,8,8,"{""0"": [4, 2], ""1"": [4, 2], ""2"": [4, 4], ""3"": [5, 5], ""4"": [7, 3], ""5"": [7, 3], ""6"": [5, 3], ""7"": [5, 1]}",0.4257276095032139,
smoke-olmoe,decode,1,1,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005|smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,4,2,current_hash,64,187.35746750430835,107.59422074112307,True,16,8,8,8,"{""0"": [7, 3], ""1"": [7, 3], ""2"": [5, 3], ""3"": [5, 1], ""4"": [4, 2], ""5"": [4, 2], ""6"": [4, 4], ""7"": [6, 4]}",0.4257276095032139,
smoke-olmoe,decode,1,1,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005|smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,4,2,current_least_load,64,187.35746750430837,107.59422074112307,True,16,8,8,8,"{""0"": [6, 4], ""1"": [7, 3], ""2"": [5, 3], ""3"": [4, 2], ""4"": [5, 1], ""5"": [4, 2], ""6"": [5, 3], ""7"": [5, 5]}",0.42572760950321403,
